zip_code,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP,FIPS,Name,State,local_classification,regional_classification,drop_column
36003,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36006,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36067,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36066,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36703,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36701,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36091,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36051,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36068,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36008,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36022,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36749,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36758,Autauga County,AL,1001,H1,1001.0,Autauga,AL,,East South Central,1106
36550,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36551,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36527,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36577,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36559,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36536,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36576,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36579,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36502,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36578,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36533,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36564,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36561,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36580,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36535,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36547,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36549,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
36530,Baldwin County,AL,1003,H1,1003.0,Baldwin,AL,,East South Central,1106
